Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Brunei Darussalam,BRN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,65.8004304,65.7777081,65.8823655,67.044453,73.4752106,73.4543492,70.3112194,71.0459331,71.1784033,72.2837064,72.2477155,72.2690747,70.4919322,70.502043
Bulgaria,BGR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,45.5887877,45.8854626,47.4089366,48.3607447,48.3403771,49.2069931,50.0007097,50.3792401,50.8647631,52.0393472,50.217808,51.0525709,49.9067134,53.4045993
Burkina Faso,BFA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,41.2608152,41.0743898,39.3018866,39.1840753,40.398786,38.6413732,41.133628,41.4057995,41.9626977,39.1372366,39.0734329,36.8265306,34.3967942,34.5353814
Burundi,BDI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,27.9955953,28.7632802,28.2619278,33.8934702,34.3112483,33.341087,30.4939438,33.4177917,31.3256171,32.3510733,30.0796307,29.4808443,28.3771978,29.7912739
Cabo Verde,CPV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,53.4369716,53.8897665,53.5134878,52.782447,55.0804735,57.626596,56.9759272,57.5511532,58.0567541,58.8059906,59.0207517,56.7353988,58.340561,58.3728361
Cambodia,KHM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,35.5107518,36.7995151,37.7112141,35.5071527,39.7105804,39.871538,40.2121214,42.2538135,41.9076886,41.32227,39.8596888,38.8301377,42.3466179,43.2504809
Cameroon,CMR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,35.4148073,34.9653023,35.1510433,35.8814248,40.1575498,39.1544678,39.4310532,39.1860216,38.1570168,36.9914062,35.2575226,36.0242139,36.0896547,36.1993871
Canada,CAN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,86.3553689,87.4317529,88.9811361,87.3705121,88.5534493,87.8298556,87.6329908,89.2743247,87.0103408,87.3026719,84.157378,84.0612449,86.4805807,85.2754831
Cayman Islands,CYM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,70.8310747,70.8150237,70.8190661,70.823581,73.0454064,73.0117371,73.0234405,73.0272418,73.0481072,73.0684456,68.9319034,73.0448309,74.3679478,74.38326
Central African Republic,CAF,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,23.9356081,24.037452,23.6371891,21.8104992,19.7449007,19.8810905,20.9741186,20.9503735,21.5152476,20.5863718,19.9905214,20.6664461,20.4182821,20.7985021
